id,direction,from,to,date,4:00-5:00am,5:00-6:00am,6:00-7:00am,7:00-8:00am,8:00-9:00am 
8845,north,south,north,2016-10-26,45,113,165,166,119
8846,south,north,south,2016-10-27,70,104,107,119,135
8847,east,west,east,2016-10-28,75,89,118,126,129
8848,west,east,west,2016-10-29,74,94,167,168,86
8849,north,south,north,2016-10-30,98,128,146,119,108
8850,south,north,south,2016-10-31,47,140,129,164,120
8851,east,west,east,2016-11-01,107,81,111,164,144
8852,west,east,west,2016-11-02,78,106,133,162,134
8853,north,south,north,2016-11-03,75,85,154,129,105
8854,south,north,south,2016-11-04,90,108,120,134,105
8855,east,west,east,2016-11-05,100,127,109,138,80
8856,west,east,west,2016-11-06,51,126,150,157,136
8857,north,south,north,2016-11-07,103,118,114,167,96
8858,south,north,south,2016-11-08,103,75,108,123,122
8859,east,west,east,2016-11-09,81,131,110,129,83
8860,west,east,west,2016-11-10,77,110,133,147,98
8861,north,south,north,2016-11-11,51,74,155,145,79
8862,south,north,south,2016-11-12,55,122,99,105,83
8863,east,west,east,2016-11-13,79,135,106,147,112
8864,west,east,west,2016-11-14,100,102,153,129,115
8865,north,south,north,2016-11-15,45,78,108,166,98
8866,south,north,south,2016-11-16,76,80,97,112,88
8867,east,west,east,2016-11-17,101,129,137,118,118
8868,west,east,west,2016-11-18,99,108,144,144,128
8869,north,south,north,2016-11-19,107,132,159,165,125
8870,south,north,south,2016-11-20,60,121,146,158,98
8871,east,west,east,2016-11-21,60,69,138,133,90
8872,west,east,west,2016-11-22,99,97,106,111,113
8873,north,south,north,2016-11-23,75,97,134,142,106
8874,south,north,south,2016-11-24,75,83,120,162,87
8875,east,west,east,2016-11-25,74,74,105,114,128
8876,west,east,west,2016-11-26,49,119,99,160,87
8877,north,south,north,2016-11-27,42,128,135,114,86
8878,south,north,south,2016-11-28,73,73,105,154,150
8879,east,west,east,2016-11-29,58,69,147,122,81
8880,west,east,west,2016-11-30,42,123,151,113,84
8881,north,south,north,2016-12-01,86,55,119,121,82
8882,south,north,south,2016-12-02,62,52,96,118,78
8883,east,west,east,2016-12-03,34,55,72,93,116
8884,west,east,west,2016-12-04,67,106,65,73,64
8885,north,south,north,2016-12-05,40,82,120,99,114
8886,south,north,south,2016-12-06,38,52,73,76,113
8887,east,west,east,2016-12-07,65,57,90,120,112
8888,west,east,west,2016-12-08,88,52,73,122,63
8889,north,south,north,2016-12-09,87,79,91,78,116
8890,south,north,south,2016-12-10,60,102,74,73,64
8891,east,west,east,2016-12-11,61,79,122,101,115
8892,west,east,west,2016-12-12,59,78,68,72,85
8893,north,south,north,2016-12-13,59,74,121,70,55
8894,south,north,south,2016-12-14,65,56,95,70,54
8895,east,west,east,2016-12-15,58,79,93,125,109
8896,west,east,west,2016-12-16,44,73,95,99,61
8897,north,south,north,2016-12-17,34,75,112,70,93
8898,south,north,south,2016-12-18,65,105,115,74,83
8899,east,west,east,2016-12-19,60,103,95,74,65
8900,west,east,west,2016-12-20,85,101,67,100,67
8901,north,south,north,2016-12-21,82,74,117,100,78
8902,south,north,south,2016-12-22,91,106,112,75,81
8903,east,west,east,2016-12-23,90,106,117,73,61
8904,west,east,west,2016-12-24,92,103,64,118,117
8905,north,south,north,2016-12-25,66,54,95,71,54
8906,south,north,south,2016-12-26,40,78,95,124,110
8907,east,west,east,2016-12-27,61,54,120,71,91
8908,west,east,west,2016-12-28,61,59,116,103,102
8909,north,south,north,2016-12-29,39,50,95,93,89
8910,south,north,south,2016-12-30,61,99,120,72,59
8911,east,west,east,2016-12-31,66,56,68,100,111
8912,west,east,west,2017-01-01,37,84,129,129,98
8913,north,south,north,2017-01-02,90,61,104,136,98
8914,south,north,south,2017-01-03,45,83,132,80,92
8915,east,west,east,2017-01-04,68,112,108,136,112
8916,west,east,west,2017-01-05,40,112,132,80,118
8917,north,south,north,2017-01-06,93,65,130,82,126
8918,south,north,south,2017-01-07,89,63,101,83,97
8919,east,west,east,2017-01-08,38,64,127,82,102
8920,west,east,west,2017-01-09,41,64,107,79,115
8921,north,south,north,2017-01-10,90,82,76,133,77
8922,south,north,south,2017-01-11,40,65,103,84,124
8923,east,west,east,2017-01-12,44,64,77,133,68
8924,west,east,west,2017-01-13,66,80,80,87,77
8925,north,south,north,2017-01-14,93,60,127,105,100
8926,south,north,south,2017-01-15,40,83,83,114,102
8927,east,west,east,2017-01-16,62,58,99,130,120
8928,west,east,west,2017-01-17,69,55,82,131,101
8929,north,south,north,2017-01-18,88,59,76,110,101
8930,south,north,south,2017-01-19,87,56,100,89,99
8931,east,west,east,2017-01-20,41,67,101,138,116
8932,west,east,west,2017-01-21,73,108,81,90,67
8933,north,south,north,2017-01-22,73,59,84,130,71
8934,south,north,south,2017-01-23,97,112,128,105,123
8935,east,west,east,2017-01-24,97,88,85,131,94
8936,west,east,west,2017-01-25,87,92,132,129,102
8937,north,south,north,2017-01-26,71,115,127,90,124
8938,south,north,south,2017-01-27,93,114,134,131,89
8939,east,west,east,2017-01-28,99,67,125,106,121
8940,west,east,west,2017-01-29,71,64,101,86,90
8941,north,south,north,2017-01-30,48,63,132,82,120
8942,south,north,south,2017-01-31,87,63,76,112,70
8943,east,west,east,2017-02-01,103,94,122,158,87
8944,west,east,west,2017-02-02,67,96,126,105,130
8945,north,south,north,2017-02-03,94,70,99,113,91
8946,south,north,south,2017-02-04,48,115,126,148,87
8947,east,west,east,2017-02-05,99,116,143,105,114
8948,west,east,west,2017-02-06,77,70,123,154,108
8949,north,south,north,2017-02-07,99,65,91,134,83
8950,south,north,south,2017-02-08,78,125,115,126,114
8951,east,west,east,2017-02-09,45,93,104,153,123
8952,west,east,west,2017-02-10,76,127,149,147,137
8953,north,south,north,2017-02-11,54,103,97,138,100
8954,south,north,south,2017-02-12,70,122,119,138,78
8955,east,west,east,2017-02-13,73,98,155,156,133
8956,west,east,west,2017-02-14,92,124,118,109,132
8957,north,south,north,2017-02-15,45,69,97,150,89
8958,south,north,south,2017-02-16,48,80,100,108,73
8959,east,west,east,2017-02-17,79,73,122,131,114
8960,west,east,west,2017-02-18,72,98,105,130,138
8961,north,south,north,2017-02-19,54,77,98,147,74
8962,south,north,south,2017-02-20,42,75,147,100,102
8963,east,west,east,2017-02-21,68,65,116,151,121
8964,west,east,west,2017-02-22,49,77,143,149,89
8965,north,south,north,2017-02-23,101,70,148,135,83
8966,south,north,south,2017-02-24,100,77,94,101,92
8967,east,west,east,2017-02-25,44,101,101,99,84
8968,west,east,west,2017-02-26,46,73,120,109,108
8969,north,south,north,2017-02-27,68,72,125,138,127
8970,south,north,south,2017-02-28,102,106,126,155,114
8971,east,west,east,2017-03-01,107,104,131,166,145
8972,west,east,west,2017-03-02,114,100,149,170,149
8973,north,south,north,2017-03-03,48,75,169,154,141
8974,south,north,south,2017-03-04,99,136,139,146,123
8975,east,west,east,2017-03-05,75,92,158,140,86
8976,west,east,west,2017-03-06,101,107,118,148,110
8977,north,south,north,2017-03-07,76,83,138,177,121
8978,south,north,south,2017-03-08,97,91,117,159,156
8979,east,west,east,2017-03-09,70,128,145,153,93
8980,west,east,west,2017-03-10,57,145,108,129,102
8981,north,south,north,2017-03-11,47,141,169,160,153
8982,south,north,south,2017-03-12,58,94,172,132,152
8983,east,west,east,2017-03-13,103,129,116,183,150
8984,west,east,west,2017-03-14,88,82,148,178,142
8985,north,south,north,2017-03-15,52,126,140,131,111
8986,south,north,south,2017-03-16,51,80,172,144,165
8987,east,west,east,2017-03-17,89,110,109,115,146
8988,west,east,west,2017-03-18,57,109,135,122,110
8989,north,south,north,2017-03-19,113,100,174,177,164
8990,south,north,south,2017-03-20,62,78,130,151,135
8991,east,west,east,2017-03-21,78,135,120,150,136
8992,west,east,west,2017-03-22,108,107,121,172,91
8993,north,south,north,2017-03-23,101,93,136,119,101
8994,south,north,south,2017-03-24,102,85,135,119,101
8995,east,west,east,2017-03-25,58,130,122,148,112
8996,west,east,west,2017-03-26,62,136,135,122,144
8997,north,south,north,2017-03-27,54,103,142,127,113
8998,south,north,south,2017-03-28,114,136,110,141,94
8999,east,west,east,2017-03-29,58,81,135,132,93
9000,west,east,west,2017-03-30,71,83,148,142,148
9001,north,south,north,2017-03-31,79,137,120,129,135
9002,south,north,south,2017-04-01,109,87,120,165,99
9003,east,west,east,2017-04-02,103,135,171,118,146
9004,west,east,west,2017-04-03,78,115,142,174,155
9005,north,south,north,2017-04-04,86,117,123,122,115
9006,south,north,south,2017-04-05,78,82,144,172,125
9007,east,west,east,2017-04-06,77,89,117,124,125
9008,west,east,west,2017-04-07,90,107,115,116,139
9009,north,south,north,2017-04-08,71,136,119,169,160
9010,south,north,south,2017-04-09,84,108,124,129,93
9011,east,west,east,2017-04-10,80,112,161,148,104
9012,west,east,west,2017-04-11,59,77,172,140,125
9013,north,south,north,2017-04-12,63,89,110,147,105
9014,south,north,south,2017-04-13,53,126,113,151,128
9015,east,west,east,2017-04-14,75,106,138,148,92
9016,west,east,west,2017-04-15,73,90,137,168,87
9017,north,south,north,2017-04-16,80,136,155,181,131
9018,south,north,south,2017-04-17,102,137,169,134,119
9019,east,west,east,2017-04-18,100,94,112,154,140
9020,west,east,west,2017-04-19,45,130,171,185,89
9021,north,south,north,2017-04-20,84,88,116,146,108
9022,south,north,south,2017-04-21,76,145,109,133,101
9023,east,west,east,2017-04-22,48,92,139,149,133
9024,west,east,west,2017-04-23,80,133,140,124,87
9025,north,south,north,2017-04-24,86,145,113,170,141
9026,south,north,south,2017-04-25,77,90,146,153,125
9027,east,west,east,2017-04-26,98,139,175,135,133
9028,west,east,west,2017-04-27,87,134,144,169,145
9029,north,south,north,2017-04-28,73,135,112,149,152
9030,south,north,south,2017-04-29,87,92,116,160,135
9031,east,west,east,2017-04-30,96,94,143,126,144
9032,west,east,west,2017-05-01,78,93,125,101,124
9033,north,south,north,2017-05-02,54,78,97,159,111
9034,south,north,south,2017-05-03,102,93,144,132,107
9035,east,west,east,2017-05-04,97,81,125,98,118
9036,west,east,west,2017-05-05,54,72,126,122,93
9037,north,south,north,2017-05-06,76,98,151,152,123
9038,south,north,south,2017-05-07,53,123,120,109,87
9039,east,west,east,2017-05-08,51,69,116,136,119
9040,west,east,west,2017-05-09,100,130,121,148,81
9041,north,south,north,2017-05-10,78,101,103,136,86
9042,south,north,south,2017-05-11,70,66,93,159,87
9043,east,west,east,2017-05-12,43,100,144,108,93
9044,west,east,west,2017-05-13,75,77,114,122,76
9045,north,south,north,2017-05-14,57,94,117,103,103
9046,south,north,south,2017-05-15,103,115,105,129,108
9047,east,west,east,2017-05-16,78,91,141,105,128
9048,west,east,west,2017-05-17,53,74,100,152,121
9049,north,south,north,2017-05-18,76,102,129,149,115
9050,south,north,south,2017-05-19,41,71,139,128,95
9051,east,west,east,2017-05-20,97,115,148,133,110
9052,west,east,west,2017-05-21,103,123,152,101,123
9053,north,south,north,2017-05-22,78,118,115,102,134
9054,south,north,south,2017-05-23,105,72,105,109,128
9055,east,west,east,2017-05-24,77,72,98,100,121
9056,west,east,west,2017-05-25,97,121,130,136,83
9057,north,south,north,2017-05-26,70,116,94,138,115
9058,south,north,south,2017-05-27,82,73,148,135,91
9059,east,west,east,2017-05-28,93,129,118,131,90
9060,west,east,west,2017-05-29,55,71,125,147,98
9061,north,south,north,2017-05-30,92,101,124,131,79
9062,south,north,south,2017-05-31,102,75,101,149,85
9063,east,west,east,2017-06-01,46,62,133,152,105
9064,west,east,west,2017-06-02,75,65,117,114,97
9065,north,south,north,2017-06-03,71,88,133,124,121
9066,south,north,south,2017-06-04,66,67,136,97,136
9067,east,west,east,2017-06-05,68,120,107,93,123
9068,west,east,west,2017-06-06,41,64,138,101,109
9069,north,south,north,2017-06-07,75,89,110,127,98
9070,south,north,south,2017-06-08,73,60,90,142,110
9071,east,west,east,2017-06-09,43,60,93,137,79
9072,west,east,west,2017-06-10,89,112,142,113,99
9073,north,south,north,2017-06-11,40,112,141,124,105
9074,south,north,south,2017-06-12,51,74,112,120,94
9075,east,west,east,2017-06-13,46,122,133,88,87
9076,west,east,west,2017-06-14,45,119,83,90,94
9077,north,south,north,2017-06-15,48,67,82,115,76
9078,south,north,south,2017-06-16,68,97,135,91,124
9079,east,west,east,2017-06-17,64,99,139,100,74
9080,west,east,west,2017-06-18,39,70,92,91,106
9081,north,south,north,2017-06-19,78,124,106,89,98
9082,south,north,south,2017-06-20,90,66,92,147,67
9083,east,west,east,2017-06-21,96,64,85,101,104
9084,west,east,west,2017-06-22,48,110,82,152,100
9085,north,south,north,2017-06-23,95,88,118,140,101
9086,south,north,south,2017-06-24,51,69,135,94,94
9087,east,west,east,2017-06-25,71,87,133,95,67
9088,west,east,west,2017-06-26,73,114,94,140,126
9089,north,south,north,2017-06-27,43,110,113,151,84
9090,south,north,south,2017-06-28,48,71,93,114,112
9091,east,west,east,2017-06-29,41,90,93,152,126
9092,west,east,west,2017-06-30,68,121,108,139,97
9093,north,south,north,2017-07-01,89,53,71,122,119
9094,south,north,south,2017-07-02,35,76,97,128,91
9095,east,west,east,2017-07-03,44,101,99,128,81
9096,west,east,west,2017-07-04,38,109,98,79,94
9097,north,south,north,2017-07-05,66,102,124,125,63
9098,south,north,south,2017-07-06,65,101,70,78,87
9099,east,west,east,2017-07-07,63,57,65,127,112
9100,west,east,west,2017-07-08,89,77,71,123,57
9101,north,south,north,2017-07-09,38,81,97,103,57
9102,south,north,south,2017-07-10,95,103,118,125,56
9103,east,west,east,2017-07-11,88,80,90,105,66
9104,west,east,west,2017-07-12,40,105,117,127,89
9105,north,south,north,2017-07-13,86,103,115,101,94
9106,south,north,south,2017-07-14,60,107,93,80,105
9107,east,west,east,2017-07-15,66,104,120,72,112
9108,west,east,west,2017-07-16,42,108,65,101,84
9109,north,south,north,2017-07-17,65,53,120,100,56
9110,south,north,south,2017-07-18,93,104,96,75,89
9111,east,west,east,2017-07-19,62,57,93,70,110
9112,west,east,west,2017-07-20,91,50,96,79,82
9113,north,south,north,2017-07-21,37,50,123,72,107
9114,south,north,south,2017-07-22,68,52,98,129,113
9115,east,west,east,2017-07-23,35,55,72,103,108
9116,west,east,west,2017-07-24,62,60,93,103,65
9117,north,south,north,2017-07-25,63,104,94,72,87
9118,south,north,south,2017-07-26,94,79,118,75,107
9119,east,west,east,2017-07-27,61,81,66,79,60
9120,west,east,west,2017-07-28,64,110,73,105,94
9121,north,south,north,2017-07-29,39,82,90,80,63
9122,south,north,south,2017-07-30,39,54,120,73,92
9123,east,west,east,2017-07-31,69,58,119,129,114
9124,west,east,west,2017-08-01,93,57,133,112,67
9125,north,south,north,2017-08-02,67,82,81,79,129
9126,south,north,south,2017-08-03,40,115,108,82,70
9127,east,west,east,2017-08-04,87,105,104,136,73
9128,west,east,west,2017-08-05,71,109,105,104,126
9129,north,south,north,2017-08-06,95,115,76,79,123
9130,south,north,south,2017-08-07,96,65,102,104,95
9131,east,west,east,2017-08-08,96,89,123,137,89
9132,west,east,west,2017-08-09,37,86,128,91,77
9133,north,south,north,2017-08-10,90,56,101,107,67
9134,south,north,south,2017-08-11,41,106,135,114,77
9135,east,west,east,2017-08-12,47,80,104,140,99
9136,west,east,west,2017-08-13,73,92,76,116,63
9137,north,south,north,2017-08-14,88,107,74,104,104
9138,south,north,south,2017-08-15,95,56,74,80,123
9139,east,west,east,2017-08-16,93,81,78,135,74
9140,west,east,west,2017-08-17,96,83,80,138,93
9141,north,south,north,2017-08-18,64,112,123,82,123
9142,south,north,south,2017-08-19,94,67,76,88,123
9143,east,west,east,2017-08-20,93,110,132,106,123
9144,west,east,west,2017-08-21,46,80,77,85,121
9145,north,south,north,2017-08-22,88,108,103,79,112
9146,south,north,south,2017-08-23,67,113,104,132,120
9147,east,west,east,2017-08-24,43,112,81,138,71
9148,west,east,west,2017-08-25,48,105,100,115,88
9149,north,south,north,2017-08-26,92,62,135,86,61
9150,south,north,south,2017-08-27,65,111,128,129,92
9151,east,west,east,2017-08-28,88,88,85,111,102
9152,west,east,west,2017-08-29,73,91,132,112,67
9153,north,south,north,2017-08-30,65,63,84,85,86
9154,south,north,south,2017-08-31,96,105,77,136,87
9155,east,west,east,2017-09-01,49,69,143,107,131
9156,west,east,west,2017-09-02,103,124,139,134,142
9157,north,south,north,2017-09-03,70,94,99,149,131
9158,south,north,south,2017-09-04,104,76,96,128,109
9159,east,west,east,2017-09-05,75,99,89,98,95
9160,west,east,west,2017-09-06,49,69,149,112,119
9161,north,south,north,2017-09-07,96,78,93,103,109
9162,south,north,south,2017-09-08,50,102,126,155,82
9163,east,west,east,2017-09-09,91,65,89,152,120
9164,west,east,west,2017-09-10,102,93,92,110,85
9165,north,south,north,2017-09-11,99,77,155,151,74
9166,south,north,south,2017-09-12,104,72,116,155,129
9167,east,west,east,2017-09-13,103,119,122,97,111
9168,west,east,west,2017-09-14,100,74,101,134,77
9169,north,south,north,2017-09-15,66,103,122,133,88
9170,south,north,south,2017-09-16,102,104,101,113,119
9171,east,west,east,2017-09-17,79,123,118,160,126
9172,west,east,west,2017-09-18,106,130,101,104,119
9173,north,south,north,2017-09-19,80,126,145,156,103
9174,south,north,south,2017-09-20,53,79,117,126,107
9175,east,west,east,2017-09-21,95,122,142,109,104
9176,west,east,west,2017-09-22,74,72,91,125,105
9177,north,south,north,2017-09-23,45,103,114,123,81
9178,south,north,south,2017-09-24,103,102,140,133,118
9179,east,west,east,2017-09-25,107,131,114,97,121
9180,west,east,west,2017-09-26,99,94,100,123,77
9181,north,south,north,2017-09-27,79,116,116,99,132
9182,south,north,south,2017-09-28,104,127,105,134,127
9183,east,west,east,2017-09-29,82,105,103,147,118
9184,west,east,west,2017-09-30,104,80,142,134,102
9185,north,south,north,2017-10-01,105,93,149,169,109
9186,south,north,south,2017-10-02,81,75,125,146,113
9187,east,west,east,2017-10-03,106,89,123,147,135
9188,west,east,west,2017-10-04,47,102,175,143,97
9189,north,south,north,2017-10-05,48,115,123,126,138
9190,south,north,south,2017-10-06,73,84,175,128,111
9191,east,west,east,2017-10-07,56,116,145,166,165
9192,west,east,west,2017-10-08,76,108,124,121,165
9193,north,south,north,2017-10-09,46,81,157,129,116
9194,south,north,south,2017-10-10,100,103,150,148,147
9195,east,west,east,2017-10-11,80,127,133,126,115
9196,west,east,west,2017-10-12,46,104,111,119,137
9197,north,south,north,2017-10-13,47,141,161,178,107
9198,south,north,south,2017-10-14,76,83,133,177,113
9199,east,west,east,2017-10-15,103,138,175,141,112
9200,west,east,west,2017-10-16,98,137,173,167,112
9201,north,south,north,2017-10-17,86,140,139,169,114
9202,south,north,south,2017-10-18,58,139,136,167,163
9203,east,west,east,2017-10-19,115,137,131,178,91
9204,west,east,west,2017-10-20,74,92,155,127,140
9205,north,south,north,2017-10-21,46,128,166,135,116
9206,south,north,south,2017-10-22,84,77,105,151,132
9207,east,west,east,2017-10-23,78,109,172,122,113
9208,west,east,west,2017-10-24,59,113,107,184,127
9209,north,south,north,2017-10-25,98,79,114,176,125
9210,south,north,south,2017-10-26,62,110,111,124,104
9211,east,west,east,2017-10-27,54,84,118,183,138
9212,west,east,west,2017-10-28,76,110,118,124,127
9213,north,south,north,2017-10-29,104,95,157,117,115
9214,south,north,south,2017-10-30,87,89,168,134,147
9215,east,west,east,2017-10-31,58,86,157,156,136
9216,west,east,west,2017-11-01,81,110,165,165,147
9217,north,south,north,2017-11-02,99,138,157,174,88
9218,south,north,south,2017-11-03,111,111,97,118,130
9219,east,west,east,2017-11-04,54,97,100,118,95
9220,west,east,west,2017-11-05,93,107,138,167,138
9221,north,south,north,2017-11-06,86,128,157,132,138
9222,south,north,south,2017-11-07,77,80,123,162,97
9223,east,west,east,2017-11-08,51,136,139,138,105
9224,west,east,west,2017-11-09,43,88,103,161,114
9225,north,south,north,2017-11-10,109,79,100,135,141
9226,south,north,south,2017-11-11,56,70,154,131,85
9227,east,west,east,2017-11-12,82,122,107,117,131
9228,west,east,west,2017-11-13,103,122,131,109,100
9229,north,south,north,2017-11-14,79,78,130,172,131
9230,south,north,south,2017-11-15,52,129,125,159,106
9231,east,west,east,2017-11-16,95,103,101,140,90
9232,west,east,west,2017-11-17,86,80,133,132,118
9233,north,south,north,2017-11-18,102,87,125,140,152
9234,south,north,south,2017-11-19,83,78,105,166,145
9235,east,west,east,2017-11-20,83,87,153,164,151
9236,west,east,west,2017-11-21,59,86,111,109,104
9237,north,south,north,2017-11-22,99,88,138,170,143
9238,south,north,south,2017-11-23,85,70,125,173,99
9239,east,west,east,2017-11-24,61,86,112,160,143
9240,west,east,west,2017-11-25,79,84,135,108,86
9241,north,south,north,2017-11-26,47,128,106,117,87
9242,south,north,south,2017-11-27,96,126,138,116,88
9243,east,west,east,2017-11-28,75,135,155,114,127
9244,west,east,west,2017-11-29,50,95,124,167,151
9245,north,south,north,2017-11-30,61,79,147,139,112
9246,south,north,south,2017-12-01,85,102,124,129,112
9247,east,west,east,2017-12-02,64,107,115,99,86
9248,west,east,west,2017-12-03,69,59,96,80,61
9249,north,south,north,2017-12-04,86,50,69,99,90
9250,south,north,south,2017-12-05,64,57,65,99,84
9251,east,west,east,2017-12-06,42,50,91,96,91
9252,west,east,west,2017-12-07,45,53,120,127,115
9253,north,south,north,2017-12-08,37,56,66,96,115
9254,south,north,south,2017-12-09,38,101,94,101,59
9255,east,west,east,2017-12-10,36,109,100,99,105
9256,west,east,west,2017-12-11,92,85,117,104,83
9257,north,south,north,2017-12-12,94,109,118,98,117
9258,south,north,south,2017-12-13,66,101,65,80,56
9259,east,west,east,2017-12-14,38,78,92,104,111
9260,west,east,west,2017-12-15,66,54,69,78,89
9261,north,south,north,2017-12-16,68,81,123,100,58
9262,south,north,south,2017-12-17,67,50,92,78,112
9263,east,west,east,2017-12-18,35,53,71,99,114
9264,west,east,west,2017-12-19,91,56,68,70,70
9265,north,south,north,2017-12-20,91,50,70,99,55
9266,south,north,south,2017-12-21,61,57,97,127,60
9267,east,west,east,2017-12-22,39,83,66,95,107
9268,west,east,west,2017-12-23,93,76,119,74,63
9269,north,south,north,2017-12-24,91,51,66,78,83
9270,south,north,south,2017-12-25,68,109,65,99,65
9271,east,west,east,2017-12-26,89,59,118,124,115
9272,west,east,west,2017-12-27,36,110,92,98,67
9273,north,south,north,2017-12-28,88,81,95,76,93
9274,south,north,south,2017-12-29,85,77,116,78,87
9275,east,west,east,2017-12-30,88,82,118,77,64
9276,west,east,west,2017-12-31,37,104,100,125,110
9277,north,south,north,2018-01-01,65,85,110,117,62
9278,south,north,south,2018-01-02,42,65,100,114,118
9279,east,west,east,2018-01-03,74,92,135,80,63
9280,west,east,west,2018-01-04,42,118,82,81,101
9281,north,south,north,2018-01-05,96,66,105,92,65
9282,south,north,south,2018-01-06,50,120,81,116,98
9283,east,west,east,2018-01-07,75,62,100,116,71
9284,west,east,west,2018-01-08,94,117,106,81,127
9285,north,south,north,2018-01-09,65,85,78,143,127
9286,south,north,south,2018-01-10,96,84,106,135,119
9287,east,west,east,2018-01-11,48,109,104,106,80
9288,west,east,west,2018-01-12,91,85,83,116,66
9289,north,south,north,2018-01-13,99,90,111,138,95
9290,south,north,south,2018-01-14,65,85,84,81,73
9291,east,west,east,2018-01-15,70,56,135,112,132
9292,west,east,west,2018-01-16,74,65,103,138,88
9293,north,south,north,2018-01-17,42,65,85,87,104
9294,south,north,south,2018-01-18,73,110,137,135,78
9295,east,west,east,2018-01-19,45,64,110,84,117
9296,west,east,west,2018-01-20,94,66,101,85,94
9297,north,south,north,2018-01-21,38,88,137,117,62
9298,south,north,south,2018-01-22,69,59,78,138,127
9299,east,west,east,2018-01-23,90,91,133,109,124
9300,west,east,west,2018-01-24,42,82,133,87,104
9301,north,south,north,2018-01-25,44,84,108,114,88
9302,south,north,south,2018-01-26,65,92,126,141,94
9303,east,west,east,2018-01-27,68,115,135,85,64
9304,west,east,west,2018-01-28,39,61,101,91,78
9305,north,south,north,2018-01-29,94,92,74,80,88
9306,south,north,south,2018-01-30,47,93,127,138,104
9307,east,west,east,2018-01-31,100,108,85,144,124
9308,west,east,west,2018-02-01,58,97,144,157,146
9309,north,south,north,2018-02-02,57,105,90,130,107
9310,south,north,south,2018-02-03,80,119,103,153,136
9311,east,west,east,2018-02-04,98,80,153,151,141
9312,west,east,west,2018-02-05,45,108,120,113,109
9313,north,south,north,2018-02-06,46,92,155,155,80
9314,south,north,south,2018-02-07,53,108,94,166,88
9315,east,west,east,2018-02-08,58,67,124,161,118
9316,west,east,west,2018-02-09,84,75,90,161,74
9317,north,south,north,2018-02-10,108,126,157,105,87
9318,south,north,south,2018-02-11,105,128,103,162,139
9319,east,west,east,2018-02-12,103,118,128,160,140
9320,west,east,west,2018-02-13,80,92,158,134,96
9321,north,south,north,2018-02-14,49,69,158,165,108
9322,south,north,south,2018-02-15,80,118,143,102,96
9323,east,west,east,2018-02-16,77,128,127,128,96
9324,west,east,west,2018-02-17,99,71,122,158,76
9325,north,south,north,2018-02-18,56,104,99,107,132
9326,south,north,south,2018-02-19,98,123,90,132,137
9327,east,west,east,2018-02-20,99,96,156,151,97
9328,west,east,west,2018-02-21,108,95,94,105,90
9329,north,south,north,2018-02-22,54,72,105,110,74
9330,south,north,south,2018-02-23,97,119,90,130,97
9331,east,west,east,2018-02-24,76,76,105,151,89
9332,west,east,west,2018-02-25,83,118,128,109,109
9333,north,south,north,2018-02-26,76,66,90,137,138
9334,south,north,south,2018-02-27,103,118,149,138,135
9335,east,west,east,2018-02-28,55,107,149,124,128
9336,west,east,west,2018-03-01,101,95,108,154,137
9337,north,south,north,2018-03-02,73,78,122,130,154
9338,south,north,south,2018-03-03,98,115,166,188,115
9339,east,west,east,2018-03-04,111,87,174,188,122
9340,west,east,west,2018-03-05,83,118,144,182,104
9341,north,south,north,2018-03-06,111,78,170,135,129
9342,south,north,south,2018-03-07,78,135,167,143,149
9343,east,west,east,2018-03-08,49,112,116,129,147
9344,west,east,west,2018-03-09,118,117,115,155,117
9345,north,south,north,2018-03-10,87,148,116,123,89
9346,south,north,south,2018-03-11,77,128,152,124,126
9347,east,west,east,2018-03-12,59,104,152,142,92
9348,west,east,west,2018-03-13,101,95,149,126,95
9349,north,south,north,2018-03-14,102,77,176,179,102
9350,south,north,south,2018-03-15,101,84,147,188,162
9351,east,west,east,2018-03-16,76,143,141,152,153
9352,west,east,west,2018-03-17,86,105,106,154,132
9353,north,south,north,2018-03-18,106,81,175,185,133
9354,south,north,south,2018-03-19,84,138,139,159,150
9355,east,west,east,2018-03-20,48,87,141,125,167
9356,west,east,west,2018-03-21,113,80,161,170,123
9357,north,south,north,2018-03-22,59,141,116,152,164
9358,south,north,south,2018-03-23,113,138,172,171,97
9359,east,west,east,2018-03-24,81,144,167,177,143
9360,west,east,west,2018-03-25,116,88,135,117,137
9361,north,south,north,2018-03-26,60,91,134,185,94
9362,south,north,south,2018-03-27,84,122,109,151,111
9363,east,west,east,2018-03-28,115,84,150,156,138
9364,west,east,west,2018-03-29,109,79,166,144,163
9365,north,south,north,2018-03-30,111,140,136,118,86
9366,south,north,south,2018-03-31,50,130,176,181,114
9367,east,west,east,2018-04-01,80,81,172,148,149
9368,west,east,west,2018-04-02,82,132,116,151,91
9369,north,south,north,2018-04-03,90,142,110,177,156
9370,south,north,south,2018-04-04,85,121,125,174,98
9371,east,west,east,2018-04-05,50,145,142,161,105
9372,west,east,west,2018-04-06,72,92,160,180,122
9373,north,south,north,2018-04-07,92,130,161,117,95
9374,south,north,south,2018-04-08,75,148,133,130,117
9375,east,west,east,2018-04-09,86,85,176,131,112
9376,west,east,west,2018-04-10,64,94,140,179,156
9377,north,south,north,2018-04-11,104,83,161,170,105
9378,south,north,south,2018-04-12,84,106,165,130,140
9379,east,west,east,2018-04-13,85,110,150,158,102
9380,west,east,west,2018-04-14,63,143,118,118,131
